"player","oapm","dapm","apm","poss"
"Stephen Curry",20.5598742568984,-15.1597364899888,5.40013776690957,28119
"Chris Paul",15.2679978149347,-9.90174061684688,5.36625719808785,23471
"Robert Williams III",10.5955884101672,-5.2324071571769,5.36318125299033,5343
"Ish Wainright",11.2599133578047,-5.89748233831272,5.362431019492,4065
"Deni Avdija",15.4357663138212,-10.1106345449155,5.32513176890567,27017
"Miles McBride",12.5513964997548,-7.24635032784652,5.30504617190831,14826
"Lamar Stevens",12.2277074339755,-6.94831490892677,5.27939252504874,7361
"Neemias Queta",18.1262520432372,-12.8562507780859,5.27000126515132,4816
"John Collins",13.5112290230386,-8.25252784384749,5.25870117919108,22156
"Paul George",12.9687691867331,-7.71315410593054,5.25561508080258,23527
"Kai Jones",14.5547182527442,-9.34952284678398,5.20519540596025,4197
"Branden Carlson",19.2626159171384,-14.0719183413566,5.19069757578179,1028
"Jazian Gortman",6.98493110219348,-1.82772484682844,5.15720625536503,248
"Dwight Powell",14.6830485980681,-9.54979109316291,5.13325750490519,11648
"Dante Exum",14.0646039275963,-9.00474615333769,5.05985777425858,6118
"Richaun Holmes",14.9768745984459,-9.97246779343131,5.00440680501462,5995
"Montrezl Harrell",8.9684064418527,-3.97478137105283,4.99362507079987,2831
"T.J. Warren",10.4594956130372,-5.52538606676764,4.93410954626959,3398
"Daniel Gafford",14.6109229566928,-9.70889209941467,4.9020308572781,19526
"Rudy Gobert",9.51374702868279,-4.61414001217806,4.89960701650473,29157
"Kevin Love",12.4565634835194,-7.57379302734366,4.88277045617574,9865
"Karlo Matković",12.4984358881559,-7.61837318688804,4.88006270126782,3315
"Donovan Clingan",10.6001110115799,-5.73437593943414,4.86573507214574,5550
"Luke Travers",19.3210092215099,-14.4582352989809,4.86277392252897,357
"Robert Covington",11.8863990792958,-7.07827669332152,4.80812238597428,5199
"D'Angelo Russell",14.9986227251078,-10.1939075907253,4.80471513438249,26276
